date,channel,campaign,spend,impressions,clicks,conversions,revenue
2026-01-01,Google Ads,Winter Sale,1200,85000,2400,120,9600
2026-01-01,Instagram,Winter Sale,900,120000,3600,90,5400
2026-01-01,Facebook,Brand Awareness,700,95000,1800,45,2700
2026-01-01,TikTok,Gen Z Launch,600,150000,4500,60,3000
2026-01-08,Google Ads,Winter Sale,1300,90000,2600,135,10800
2026-01-08,Instagram,Winter Sale,950,125000,3800,95,5700
2026-01-08,Facebook,Brand Awareness,650,88000,1700,40,2400
2026-01-08,TikTok,Gen Z Launch,700,170000,5100,70,3500
2026-01-15,Google Ads,Spring Preview,1500,110000,3200,160,14400
2026-01-15,Instagram,Spring Preview,1100,140000,4200,110,6600
2026-01-15,Facebook,Retargeting,500,60000,1500,55,4400
2026-01-15,TikTok,Gen Z Launch,750,180000,5400,75,3750
2026-01-22,Google Ads,Spring Preview,1600,115000,3400,170,15300
2026-01-22,Instagram,Spring Preview,1150,145000,4400,115,6900
2026-01-22,Facebook,Retargeting,550,65000,1600,60,4800
2026-01-22,TikTok,Influencer Push,900,200000,6200,95,4750
2026-01-29,Google Ads,Spring Preview,1550,112000,3300,165,14850
2026-01-29,Instagram,Influencer Collab,1300,160000,4900,140,8400
2026-01-29,Facebook,Retargeting,520,62000,1550,58,4640
2026-01-29,TikTok,Influencer Push,950,210000,6500,100,5000
